Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,W/L%,GB,PS/G,PA/G,SRS
2012,Denver Nuggets,66,243.0,39.0,81.9,.476,6.6,19.9,.332,32.4,62.0,.522,19.6,26.7,.735,11.2,31.9,43.1,24.0,8.2,5.0,15.4,19.7,104.1,38,28,.576,9.0,104.1,101.2,3.16
2012,San Antonio Spurs,66,241.5,39.6,82.8,.478,8.4,21.3,.393,31.2,61.5,.507,16.2,21.6,.748,10.3,32.6,43.0,23.2,7.4,4.4,13.6,17.3,103.7,50,16,.758,—,103.7,96.5,7.28
2012,Oklahoma City Thunder,66,242.3,37.3,79.2,.471,7.2,20.0,.358,30.2,59.3,.509,21.3,26.4,.806,11.0,32.7,43.7,18.5,7.5,8.2,16.3,20.5,103.1,47,19,.712,—,103.1,96.9,6.44
2012,Utah Jazz,66,244.9,38.2,83.8,.456,4.1,12.8,.323,34.1,71.0,.480,19.1,25.3,.754,13.0,31.1,44.2,21.8,8.3,5.8,14.2,21.8,99.7,36,30,.545,11.0,99.7,99.0,0.92
2012,Milwaukee Bucks,66,240.4,37.9,85.6,.443,6.6,19.2,.345,31.3,66.5,.471,16.6,21.4,.774,12.4,30.0,42.5,23.5,8.3,5.1,14.1,19.3,99.0,31,35,.470,19.0,99.0,98.7,-0.23
2012,Sacramento Kings,66,241.1,37.7,86.5,.436,6.2,19.7,.316,31.5,66.8,.471,17.1,23.2,.736,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5,98.8,22,44,.333,19.0,98.8,104.4,-4.95
2012,Miami Heat,66,243.0,37.1,79.0,.469,5.6,15.6,.359,31.5,63.4,.496,18.8,24.2,.775,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4,98.5,46,20,.697,—,98.5,92.5,5.72
2012,Phoenix Suns,66,240.0,37.8,82.5,.458,6.7,19.6,.343,31.1,62.9,.494,16.0,21.2,.757,10.9,30.8,41.7,22.5,6.5,5.5,14.1,18.7,98.4,33,33,.500,8.0,98.4,98.6,0.29
2012,Houston Rockets,66,243.4,37.7,84.0,.449,7.2,20.2,.359,30.5,63.8,.477,15.4,19.7,.782,11.7,30.5,42.2,21.3,7.5,4.8,14.5,20.4,98.1,34,32,.515,16.0,98.1,97.9,0.57
2012,Minnesota Timberwolves,66,241.5,35.7,82.3,.433,7.2,21.6,.332,28.5,60.8,.469,19.4,25.2,.771,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4,97.9,26,40,.394,21.0,97.9,100.1,-1.83
2012,New York Knicks,66,241.5,35.8,80.8,.443,7.8,23.3,.336,28.0,57.5,.487,18.3,24.8,.741,11.3,30.5,41.7,20.1,9.4,4.2,16.0,21.1,97.8,36,30,.545,3.0,97.8,94.7,2.39
2012,Golden State Warriors,66,241.1,37.7,82.5,.457,7.9,20.5,.388,29.8,62.0,.480,14.4,18.7,.770,9.7,29.5,39.2,22.3,8.0,5.5,13.9,21.4,97.8,23,43,.348,18.0,97.8,101.2,-2.79
2012,Indiana Pacers,66,242.3,35.7,81.4,.438,5.9,16.1,.368,29.7,65.3,.455,20.4,26.1,.782,12.5,31.4,43.9,18.6,7.9,5.4,14.0,21.7,97.7,42,24,.636,8.0,97.7,94.4,2.60
2012,Los Angeles Clippers,66,241.9,37.0,81.3,.455,7.8,21.8,.357,29.2,59.5,.490,15.8,23.3,.680,12.1,29.4,41.6,21.0,8.4,4.8,13.3,21.2,97.5,40,26,.606,1.0,97.5,95.0,2.82
2012,Los Angeles Lakers,66,243.4,36.8,80.6,.457,5.5,16.8,.326,31.3,63.7,.491,18.2,24.1,.756,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8,97.3,41,25,.621,—,97.3,95.9,1.96
2012,Portland Trail Blazers,66,241.9,36.4,82.1,.443,7.2,20.9,.346,29.2,61.1,.477,17.2,21.6,.796,11.1,29.5,40.7,20.4,8.0,4.9,14.2,19.0,97.2,28,38,.424,19.0,97.2,97.8,-0.22
2012,Atlanta Hawks,66,244.9,36.8,81.0,.454,7.5,20.2,.370,29.3,60.9,.482,15.5,21.0,.740,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8,96.6,40,26,.606,6.0,96.6,93.2,2.67
2012,Chicago Bulls,66,241.5,37.4,82.8,.452,6.3,16.9,.375,31.0,65.8,.471,15.2,21.1,.722,13.9,32.8,46.7,23.1,6.9,5.9,14.0,17.3,96.3,50,16,.758,—,96.3,88.2,7.43
2012,Dallas Mavericks,66,243.4,36.3,82.0,.443,7.5,22.2,.339,28.8,59.8,.482,15.6,20.2,.771,10.1,32.7,42.8,20.9,8.6,5.1,14.0,18.6,95.8,36,30,.545,14.0,95.8,94.8,1.78
2012,Memphis Grizzlies,66,241.5,36.7,82.2,.447,4.2,12.9,.326,32.5,69.3,.470,17.3,22.8,.759,12.6,29.5,42.0,19.5,9.6,5.2,14.5,19.9,95.0,41,25,.621,9.0,95.0,93.0,2.43
2012,Orlando Magic,66,241.9,34.5,78.2,.441,10.2,27.0,.375,24.3,51.2,.475,15.1,22.8,.660,11.2,31.2,42.5,20.0,6.8,4.2,14.9,17.7,94.2,37,29,.561,9.0,94.2,93.4,0.46
2012,Washington Wizards,66,240.4,36.6,83.0,.441,5.2,16.3,.320,31.4,66.7,.470,15.3,21.0,.727,11.7,29.9,41.7,19.1,8.0,6.3,15.3,21.3,93.6,20,46,.303,26.0,93.6,98.4,-5.14
2012,Philadelphia 76ers,66,241.1,37.4,83.6,.448,5.3,14.6,.362,32.2,69.0,.466,13.5,18.2,.742,10.7,32.5,43.2,22.0,8.0,5.2,11.2,17.5,93.6,35,31,.530,4.0,93.6,89.4,3.59
2012,New Jersey Nets,66,240.8,34.3,80.6,.425,7.7,22.4,.342,26.6,58.2,.457,16.9,21.7,.777,11.9,28.5,40.3,19.9,7.5,3.9,15.1,19.2,93.1,22,44,.333,17.0,93.1,99.1,-6.37
2012,Cleveland Cavaliers,66,241.9,34.3,81.2,.422,6.7,19.3,.346,27.6,61.9,.446,17.8,24.9,.716,12.7,29.5,42.3,19.8,7.1,4.0,15.4,20.0,93.0,21,45,.318,29.0,93.0,100.2,-7.34
2012,Boston Celtics,66,241.5,35.5,77.1,.460,5.5,15.0,.367,30.0,62.1,.483,15.4,19.8,.778,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,91.8,39,27,.591,—,91.8,89.3,2.26
2012,Detroit Pistons,66,241.9,34.7,79.3,.438,4.8,13.9,.346,29.9,65.4,.457,16.6,22.1,.752,11.7,28.5,40.3,18.7,7.0,4.2,15.7,19.6,90.9,25,41,.379,25.0,90.9,95.7,-5.19
2012,Toronto Raptors,66,241.9,34.4,78.1,.440,5.5,16.3,.340,28.8,61.8,.467,16.4,21.4,.770,10.6,31.4,42.0,20.9,6.5,4.9,15.2,23.2,90.7,23,43,.348,16.0,90.7,94.0,-3.67
2012,New Orleans Hornets,66,241.5,34.8,77.3,.451,3.9,11.8,.333,30.9,65.5,.472,16.0,21.2,.757,11.0,30.2,41.1,20.7,7.4,4.8,15.5,20.1,89.6,21,45,.318,29.0,89.6,93.4,-3.11
2012,Charlotte Bobcats,66,240.8,33.2,80.2,.414,4.0,13.5,.295,29.2,66.7,.439,16.5,22.2,.746,10.3,28.7,39.0,20.1,6.0,5.5,14.5,18.9,87.0,7,59,.106,39.0,87.0,100.9,-13.96
2013,Denver Nuggets,82,242.7,40.7,85.2,.478,6.4,18.5,.343,34.4,66.6,.516,18.4,26.2,.701,13.3,31.7,45.0,24.4,9.3,6.5,15.3,20.5,106.1,57,25,.695,3.0,106.1,101.1,5.37
2013,Houston Rockets,82,241.2,38.1,82.7,.461,10.6,28.9,.366,27.5,53.8,.511,19.2,25.5,.754,11.1,32.3,43.4,23.2,8.3,4.4,16.4,20.3,106.0,45,37,.549,13.0,106.0,102.5,3.69
2013,Oklahoma City Thunder,82,241.8,38.1,79.3,.481,7.3,19.4,.377,30.8,60.0,.514,22.2,26.8,.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,60,22,.732,—,105.7,96.5,9.15
2013,San Antonio Spurs,82,242.4,39.1,81.4,.481,8.1,21.5,.376,31.1,59.9,.519,16.6,21.0,.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0,58,24,.707,—,103.0,96.6,6.67
2013,Miami Heat,82,242.4,38.4,77.4,.496,8.7,22.1,.396,29.6,55.4,.536,17.4,23.0,.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,66,16,.805,—,102.9,95.0,7.03
2013,Los Angeles Lakers,82,240.9,37.1,81.0,.458,8.7,24.6,.355,28.4,56.4,.503,19.3,27.9,.692,11.5,33.3,44.8,22.2,7.0,5.2,15.0,17.9,102.2,45,37,.549,11.0,102.2,101.0,1.48
2013,Golden State Warriors,82,241.5,38.2,83.4,.458,8.0,19.9,.403,30.1,63.5,.475,16.8,21.3,.790,10.8,34.2,45.0,22.5,6.9,4.2,15.1,21.4,101.2,47,35,.573,9.0,101.2,100.3,1.32
2013,Dallas Mavericks,82,243.7,38.8,84.0,.462,7.4,19.9,.372,31.4,64.2,.489,16.1,20.4,.793,9.4,32.6,41.9,23.2,7.9,5.5,14.0,20.7,101.1,41,41,.500,17.0,101.1,101.7,-0.24
2013,Los Angeles Clippers,82,240.6,38.5,80.6,.478,7.6,21.4,.358,30.9,59.2,.522,16.4,23.0,.711,11.4,30.2,41.6,23.9,9.6,5.6,14.6,20.9,101.1,56,26,.683,—,101.1,94.6,6.43
2013,Sacramento Kings,82,241.8,37.6,84.2,.447,7.4,20.5,.363,30.2,63.7,.474,17.5,22.8,.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2,28,54,.341,28.0,100.2,105.1,-4.26
2013,New York Knicks,82,240.6,36.5,81.6,.448,10.9,28.9,.376,25.7,52.7,.487,16.0,21.1,.759,10.9,29.7,40.6,19.3,8.2,3.6,12.0,20.1,100.0,54,28,.659,—,100.0,95.7,3.73
2013,Milwaukee Bucks,82,241.8,38.1,87.8,.435,7.3,20.4,.360,30.8,67.4,.457,15.3,20.7,.736,13.0,30.9,44.0,22.9,8.4,6.7,14.1,19.0,98.9,38,44,.463,11.5,98.9,100.4,-1.83
2013,Utah Jazz,82,242.4,37.1,81.8,.454,6.2,16.9,.366,31.0,64.9,.477,17.5,23.0,.764,12.1,30.0,42.0,22.7,8.4,6.3,14.8,21.3,98.0,43,39,.524,17.0,98.0,98.1,0.30
2013,Atlanta Hawks,82,242.1,37.6,81.0,.464,8.6,23.2,.371,29.0,57.8,.501,14.1,19.7,.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,98.0,44,38,.537,22.0,98.0,97.5,-0.08
2013,Portland Trail Blazers,82,242.1,36.7,81.9,.448,8.2,23.2,.353,28.5,58.7,.486,15.9,20.5,.776,10.7,30.2,40.8,21.8,6.6,4.3,14.7,18.5,97.5,33,49,.402,27.0,97.5,100.7,-2.53
2013,Toronto Raptors,82,243.7,36.3,81.5,.446,7.0,20.3,.343,29.4,61.2,.480,17.6,22.3,.788,10.6,29.6,40.2,21.5,7.3,4.8,13.7,22.4,97.2,34,48,.415,20.0,97.2,98.7,-1.96
2013,Brooklyn Nets,82,242.1,35.9,79.8,.450,7.7,21.5,.357,28.2,58.3,.484,17.5,23.9,.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,96.9,49,33,.598,5.0,96.9,95.1,1.25
2013,Cleveland Cavaliers,82,240.6,36.5,84.2,.434,6.7,19.3,.346,29.8,64.9,.460,16.8,22.3,.756,12.2,28.8,41.0,20.7,7.9,4.1,14.0,21.2,96.5,24,58,.293,25.5,96.5,101.2,-4.87
2013,Minnesota Timberwolves,82,240.6,35.9,81.7,.439,5.5,18.0,.305,30.4,63.7,.477,18.5,24.9,.742,11.9,30.2,42.0,22.4,8.5,4.7,14.8,18.4,95.7,31,51,.378,29.0,95.7,98.1,-1.83
2013,Boston Celtics,81,244.9,37.0,79.7,.465,6.1,17.2,.358,30.9,62.6,.494,16.3,21.0,.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5,41,40,.506,12.5,96.5,96.7,-0.62
2013,Phoenix Suns,82,241.5,37.3,84.4,.443,5.9,17.7,.330,31.5,66.6,.473,14.7,19.7,.744,11.7,29.9,41.6,22.6,8.0,5.3,15.6,20.6,95.2,25,57,.305,31.0,95.2,101.6,-5.75
2013,Detroit Pistons,82,241.5,36.3,81.0,.449,6.3,17.6,.356,30.1,63.4,.474,15.9,22.8,.699,12.1,30.0,42.1,21.2,7.0,4.9,15.1,19.8,94.9,29,53,.354,20.5,94.9,98.8,-4.33
2013,Orlando Magic,82,241.2,37.7,84.2,.448,6.2,18.7,.329,31.5,65.5,.482,12.5,16.6,.755,10.9,31.9,42.7,22.8,6.4,4.4,14.5,19.4,94.1,20,62,.244,46.0,94.1,101.1,-7.12
2013,New Orleans Hornets,82,241.2,36.0,80.4,.448,6.5,18.0,.363,29.5,62.4,.473,15.5,20.0,.776,12.0,29.6,41.6,21.0,6.3,5.4,14.5,20.4,94.1,27,55,.329,31.0,94.1,97.9,-3.12
2013,Indiana Pacers,81,241.9,35.1,80.6,.436,6.9,19.7,.347,28.3,60.8,.465,17.6,23.6,.746,12.9,33.0,45.9,20.3,7.2,6.3,15.1,20.0,94.7,49,32,.605,—,94.7,90.7,3.34
2013,Charlotte Bobcats,82,241.5,34.4,81.1,.425,5.7,17.1,.335,28.7,64.0,.448,18.9,25.1,.750,11.2,29.1,40.3,19.4,7.2,5.8,14.1,19.0,93.4,21,61,.256,45.0,93.4,102.7,-9.29
2013,Memphis Grizzlies,82,241.5,36.1,81.5,.444,4.7,13.5,.345,31.5,68.0,.463,16.5,21.3,.773,12.9,29.8,42.7,20.9,8.6,5.3,14.0,20.2,93.4,56,26,.683,2.0,93.4,89.3,4.32
2013,Washington Wizards,82,242.1,35.5,81.6,.435,6.6,18.2,.365,28.8,63.4,.455,15.6,21.3,.733,10.8,32.3,43.2,21.6,7.3,4.6,15.1,20.5,93.2,29,53,.354,37.0,93.2,95.8,-2.78
2013,Chicago Bulls,82,241.8,35.7,81.7,.437,5.4,15.4,.353,30.2,66.3,.456,16.4,21.2,.773,12.5,30.7,43.2,23.0,7.2,5.1,14.3,19.7,93.2,45,37,.549,4.5,93.2,92.9,-0.02
2013,Philadelphia 76ers,82,240.9,37.3,84.1,.444,6.3,17.5,.360,31.0,66.5,.466,12.2,16.8,.729,10.9,30.4,41.3,22.8,7.4,4.7,13.0,18.4,93.2,34,48,.415,20.0,93.2,96.5,-3.51
2014,Los Angeles Clippers,82,240.9,39.1,82.5,.474,8.5,24.0,.352,30.7,58.5,.525,21.2,29.1,.730,10.5,32.5,43.0,24.6,8.6,4.8,13.9,21.5,107.9,57,25,.695,—,107.9,101.0,7.27
2014,Houston Rockets,82,241.8,38.0,80.5,.472,9.5,26.6,.358,28.5,54.0,.529,22.1,31.1,.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7,54,28,.659,8.0,107.7,103.1,5.06
2014,Minnesota Timberwolves,82,242.1,38.9,87.5,.444,7.3,21.4,.341,31.6,66.1,.478,21.8,28.1,.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9,40,42,.488,19.0,106.9,104.3,3.10
2014,Portland Trail Blazers,82,242.1,39.1,87.0,.450,9.4,25.3,.372,29.7,61.7,.481,19.1,23.5,.815,12.5,34.0,46.4,23.2,5.5,4.7,13.7,19.2,106.7,54,28,.659,5.0,106.7,102.8,4.44
2014,Oklahoma City Thunder,82,241.5,39.0,82.7,.471,8.1,22.4,.361,30.9,60.3,.512,20.2,25.0,.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,59,23,.720,—,106.2,99.8,6.66
2014,San Antonio Spurs,82,240.9,40.6,83.5,.486,8.5,21.4,.397,32.0,62.0,.517,15.7,20.0,.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4,62,20,.756,—,105.4,97.6,8.00
2014,Phoenix Suns,82,240.9,38.7,83.5,.463,9.3,25.1,.372,29.4,58.4,.503,18.5,24.4,.758,11.3,31.7,43.0,19.1,8.4,4.6,15.3,21.9,105.2,48,34,.585,9.0,105.2,102.6,3.02
2014,Dallas Mavericks,82,241.8,39.6,83.6,.474,8.8,22.9,.384,30.8,60.7,.508,16.8,21.1,.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8,49,33,.598,13.0,104.8,102.4,2.91
2014,Denver Nuggets,82,240.9,38.4,85.9,.447,8.6,23.9,.358,29.8,62.0,.481,19.1,26.3,.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23.0,104.4,36,46,.439,23.0,104.4,106.5,-1.40
2014,Golden State Warriors,82,241.8,39.5,85.4,.462,9.4,24.8,.380,30.0,60.6,.496,15.9,21.1,.753,10.9,34.4,45.3,23.3,7.8,5.0,15.2,21.8,104.3,51,31,.622,6.0,104.3,99.5,5.15
2014,Los Angeles Lakers,82,240.3,38.3,85.1,.450,9.4,24.8,.381,28.8,60.3,.478,17.0,22.4,.757,9.1,32.0,41.0,24.5,7.5,5.4,15.1,19.8,103.0,27,55,.329,30.0,103.0,109.2,-5.33
2014,Miami Heat,82,242.4,38.3,76.5,.501,8.1,22.3,.364,30.2,54.2,.558,17.5,23.0,.760,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2,54,28,.659,—,102.2,97.4,4.15
2014,Toronto Raptors,82,243.4,36.5,81.9,.445,8.7,23.4,.372,27.8,58.5,.475,19.6,25.1,.782,11.4,31.1,42.5,21.2,7.0,4.2,14.1,23.0,101.3,48,34,.585,—,101.3,98.0,2.55
2014,Detroit Pistons,82,241.2,38.8,86.9,.447,6.2,19.3,.321,32.6,67.6,.483,17.3,25.7,.670,14.6,30.8,45.4,20.9,8.4,4.8,14.5,20.3,101.0,29,53,.354,27.0,101.0,104.7,-4.13
2014,Atlanta Hawks,82,241.8,37.3,81.6,.458,9.4,25.8,.363,28.0,55.8,.502,17.0,21.7,.781,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0,38,44,.463,16.0,101.0,101.5,-0.88
2014,Washington Wizards,82,244.6,38.7,84.4,.459,7.9,20.8,.380,30.9,63.6,.485,15.3,20.9,.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7,44,38,.537,10.0,100.7,99.4,0.48
2014,Sacramento Kings,82,241.8,36.9,82.5,.447,6.0,18.0,.333,30.9,64.5,.479,20.7,27.3,.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5,28,54,.341,29.0,100.5,103.4,-2.08
2014,New Orleans Pelicans,82,242.1,37.8,82.5,.459,5.9,15.9,.373,31.9,66.6,.479,18.2,23.6,.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7,34,48,.415,28.0,99.7,102.4,-1.98
2014,Philadelphia 76ers,82,242.1,37.9,87.2,.435,7.0,22.5,.312,30.9,64.7,.477,16.6,23.4,.710,11.6,31.2,42.7,21.8,9.3,4.0,16.9,22.5,99.5,19,63,.232,29.0,99.5,109.9,-10.66
2014,New York Knicks,82,242.1,36.9,82.2,.449,9.3,24.9,.372,27.7,57.3,.482,15.5,20.4,.761,10.6,29.7,40.3,20.0,7.7,4.5,13.0,22.1,98.6,37,45,.451,11.0,98.6,99.4,-1.40
2014,Brooklyn Nets,82,242.4,35.7,77.9,.459,8.6,23.4,.369,27.1,54.5,.497,18.4,24.4,.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5,44,38,.537,4.0,98.5,99.5,-1.58
2014,Cleveland Cavaliers,82,243.0,37.0,84.8,.437,7.1,20.0,.356,29.9,64.8,.461,17.0,22.7,.751,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20.0,98.2,33,49,.402,23.0,98.2,101.5,-3.86
2014,Charlotte Bobcats,82,242.7,36.3,82.1,.442,6.3,17.9,.351,30.0,64.1,.468,18.0,24.4,.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,96.9,43,39,.524,11.0,96.9,97.1,-0.89
2014,Indiana Pacers,82,241.2,36.0,80.2,.449,6.7,18.8,.357,29.3,61.4,.477,18.1,23.3,.779,10.2,34.5,44.7,20.1,6.7,5.4,15.1,20.4,96.7,56,26,.683,—,96.7,92.3,3.63
2014,Orlando Magic,82,243.4,36.9,82.7,.445,6.9,19.5,.353,30.0,63.3,.474,15.9,20.9,.763,9.7,32.4,42.0,21.0,7.7,4.3,14.9,20.5,96.5,23,59,.280,31.0,96.5,102.0,-5.88
2014,Boston Celtics,82,240.6,36.5,83.9,.435,7.0,21.1,.333,29.5,62.9,.470,16.2,20.8,.777,12.0,30.5,42.5,21.0,7.1,4.2,15.4,21.3,96.2,25,57,.305,23.0,96.2,100.7,-4.97
2014,Memphis Grizzlies,82,241.5,38.1,82.0,.464,4.9,14.0,.353,33.1,68.0,.487,15.1,20.3,.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1,50,32,.610,12.0,96.1,94.6,2.18
2014,Milwaukee Bucks,82,242.4,36.0,82.2,.438,6.7,18.9,.353,29.3,63.2,.464,16.8,22.5,.747,11.8,29.3,41.1,21.5,6.6,4.9,15.1,20.9,95.5,15,67,.183,41.0,95.5,103.7,-8.41
2014,Utah Jazz,82,241.2,36.0,81.1,.444,6.6,19.2,.344,29.4,61.9,.474,16.4,22.0,.747,11.0,30.2,41.2,20.3,7.0,4.5,14.6,20.7,95.0,25,57,.305,34.0,95.0,102.2,-6.27
2014,Chicago Bulls,82,243.0,34.7,80.2,.432,6.2,17.8,.348,28.5,62.4,.456,18.1,23.3,.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7,48,34,.585,8.0,93.7,91.8,1.20
